Astro ID,TIC ID,Sector,Centroid Distance (arcsec),PRF Fit Quality,Optim Method
730,256503960,17,0.37549888563298767,0.9969436817329913,L-BFGS-B
730,256503960,18,4.729519935553727,0.987680619393669,L-BFGS-B
730,256503960,24,2.615526454243846,0.9927826466977168,L-BFGS-B
730,256503960,25,1.7469460894903481,0.988027126445721,L-BFGS-B
730,256503960,52,1.122182893652938,0.9875875401918718,L-BFGS-B
730,256503960,57,0.26088328568650254,0.9953488132434278,L-BFGS-B
730,256503960,58,1.2380785047779141,0.969731817146349,L-BFGS-B
730,256503960,77,2.380792231690033,0.9944771253769875,L-BFGS-B
730,256503960,78,0.5853723203137825,0.9950911202298156,L-BFGS-B
731,256512446,14,49.44977103592455,0.9777721817412139,L-BFGS-B
731,256512446,15,48.13152560961294,0.9975088588797518,L-BFGS-B
731,256512446,16,48.51107149885427,0.9632795149769382,L-BFGS-B
731,256512446,17,51.30546790667593,0.9464429998897326,L-BFGS-B
731,256512446,21,51.44438038417542,0.994531634114514,L-BFGS-B
731,256512446,24,47.37579152715618,0.9792169929087441,L-BFGS-B
731,256512446,41,48.862727303453006,0.9931523814596062,L-BFGS-B
731,256512446,47,50.47662143179472,0.9987066816217739,L-BFGS-B
731,256512446,51,50.07677095296004,0.9884146243681485,L-BFGS-B
731,256512446,54,49.22884252873969,0.9993902838353328,L-BFGS-B
731,256512446,55,50.14864039657722,0.9913870416896368,L-BFGS-B
731,256512446,57,49.65324314959401,0.9942573941723312,L-BFGS-B
731,256512446,58,49.1960453290382,0.9925845046291234,L-BFGS-B
731,256512446,60,48.94515725757573,0.9982177241722571,L-BFGS-B
731,256512446,74,50.16911468708343,0.9980331104680188,L-BFGS-B
731,256512446,75,48.41163886032701,0.9910259921182959,L-BFGS-B
731,256512446,76,50.678319130959686,0.9988875211197848,L-BFGS-B
731,256512446,77,49.691112378402245,0.9882126781363483,L-BFGS-B
732,256640561,17,2.7744542815826145,0.9978997268321553,L-BFGS-B
732,256640561,18,0.2788975476981359,0.9899567905987224,L-BFGS-B
732,256640561,24,0.8690907933300828,0.9980398209342457,L-BFGS-B
732,256640561,25,3.233675703863985,0.9820080957452381,L-BFGS-B
732,256640561,52,2.7372259090374205,0.9883334516784726,L-BFGS-B
732,256640561,57,1.1822064377276973,0.9959356038348465,L-BFGS-B
732,256640561,58,2.839528719611589,0.9798385472885306,L-BFGS-B
732,256640561,59,0.793944427296732,0.9989859548582052,L-BFGS-B
732,256640561,77,2.498233092187442,0.9947723201050223,L-BFGS-B
732,256640561,78,0.9487140943459081,0.9945081499685317,L-BFGS-B
732,256640561,79,3.7513160471113483,0.9913033732912397,L-BFGS-B
733,257634283,25,5.37898201444699,0.8952300027295893,L-BFGS-B
733,257634283,26,5.375233455034138,0.9831659403956571,L-BFGS-B
733,257634283,52,4.059689404267383,0.9638289892928597,L-BFGS-B
733,257634283,79,1.4915438696804237,0.8480828233781426,L-BFGS-B
734,257642093,12,29.735137258181197,0.5454909854038346,L-BFGS-B
734,257642093,13,32.5025390963515,0.2958957909106599,L-BFGS-B
734,257642093,27,32.05277134081064,0.3178124149203562,L-BFGS-B
734,257642093,39,9.899398479258986,0.1467930479156825,L-BFGS-B
734,257642093,66,4.858263836362977,0.2779132700717922,L-BFGS-B
734,257642093,67,51.1459665310639,0.21589418612435532,L-BFGS-B
735,258278548,14,2.1308362020096303,0.9975950780072388,L-BFGS-B
735,258278548,26,2.738828234830308,0.9922274134596929,L-BFGS-B
735,258278548,40,2.373828304511288,0.9974161425540932,L-BFGS-B
735,258278548,53,3.5889170078911996,0.9899754279067257,L-BFGS-B
735,258278548,54,0.8703223171312011,0.9959321085598962,L-BFGS-B
735,258278548,74,1.2995634754638383,0.9990860112270364,L-BFGS-B
735,258278548,80,2.302090173692534,0.996943946034323,L-BFGS-B
736,258509996,15,33.90380887077879,0.7811595552405819,L-BFGS-B
736,258509996,16,26.2209759031939,0.8177878683088966,L-BFGS-B
736,258509996,17,29.499265191299298,0.5421541576781616,L-BFGS-B
736,258509996,18,19.729083772159804,0.6035339167060204,L-BFGS-B
736,258509996,19,14.520994616427922,0.7780553542345855,L-BFGS-B
736,258509996,22,2517.5317527756056,0.05931376550794566,Nelder-Mead
736,258509996,24,24.25923352028911,0.14382262695149528,Nelder-Mead
736,258509996,25,28.7838839333904,0.7716726997741294,L-BFGS-B
736,258509996,48,22.66074681605659,0.5141837006478405,L-BFGS-B
736,258509996,49,30.527824953518365,0.8235576569266273,L-BFGS-B
736,258509996,52,31.77404703266424,0.7256554066260669,L-BFGS-B
736,258509996,55,26.590012901628953,0.7981263824952705,L-BFGS-B
